"family","name","group","upstream_status","tasks","installed_loader","studio_catalogued","studio_ids","studio_capabilities","integration","notes","source"
"audio8_asr","Audio8-ASR-0.1B","Transcription","community","ASR","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","Upstream GGUF download is marked unsupported/local conversion; do not equate package listing with one-click installation.","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/audio8_asr.json"
"audio8_tts","Audio8 TTS Preview 0.6B","Speech and voice design","community","TTS, Clone","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/audio8_tts.json"
"audiosr","AudioSR","Enhancement and MIDI","experimental","S2S","true","false","","","New or extended task workflow and output/input handling","Audio super-resolution; no dedicated Studio enhancement tool.","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/audiosr.json"
"breeze_tts","BreezeTTS 2","Speech and voice design","supported","TTS, Clone, Design, Ctrl","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/breeze_tts.json"
"chatterbox_turbo","Chatterbox Turbo","Speech and voice design","testing","TTS (testing)","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","Distinct family from existing Chatterbox; upstream marks testing.","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/chatterbox_turbo.json"
"citrinet_asr","Citrinet ASR","Transcription","supported","ASR","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/citrinet_asr.json"
"confucius4_tts","Confucius4-TTS","Speech and voice design","experimental","Clone","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/confucius4_tts.json"
"controlfoley","ControlFoley","Music, sound and video","experimental","SFX","true","false","","","New or extended task workflow and output/input handling","Multimodal Foley conditioning needs more than the current music prompt form.","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/controlfoley.json"
"cosyvoice3","CosyVoice3","Speech and voice design","supported","TTS, Clone","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/cosyvoice3.json"
"dots_tts","DotTTS","Speech and voice design","supported","TTS, Clone, Edit, Ctrl","true","false","","","Existing task surface candidate; add catalogue/config, map family options, validate outputs","","https://github.com/0xShug0/audio.cpp/blob/3174e6b26f11a0e39b4f150961dce98f43ba860d/model_specs/dots_tts.json"
